UID,FIPS,County,State,Combined_Key,2019 Census Population (JH),2/5/20,2/19/20,3/4/20,3/18/20,4/1/20,4/15/20,4/29/20,5/13/20,5/27/20,6/10/20,6/24/20,7/8/20,7/22/20,8/5/20,Sum,,,,,,,,,,,,,,
84001001,1001,Autauga,Alabama,"Autauga, Alabama",55869,0,0,0,0,8,16,19,50,99,103,168,180,220,167,1030,,,,,,,,,,,,,,
84001003,1003,Baldwin,Alabama,"Baldwin, Alabama",223234,0,0,0,1,19,71,83,57,51,49,118,590,1125,1099,3263,,,,,,,,,,,,,,
84001005,1005,Barbour,Alabama,"Barbour, Alabama",24686,0,0,0,0,0,12,25,32,61,78,79,75,125,76,563,,,,,,,,,,,,,,
84001007,1007,Bibb,Alabama,"Bibb, Alabama",22394,0,0,0,0,3,15,24,4,25,18,49,60,84,99,381,,,,,,,,,,,,,,
84001009,1009,Blount,Alabama,"Blount, Alabama",57826,0,0,0,0,5,12,19,9,8,26,86,93,240,243,741,,,,,,,,,,,,,,
84001011,1011,Bullock,Alabama,"Bullock, Alabama",10101,0,0,0,0,3,5,4,16,148,72,84,37,33,39,441,,,,,,,,,,,,,,
84001013,1013,Butler,Alabama,"Butler, Alabama",19448,0,0,0,0,1,8,41,180,161,80,111,55,56,58,751,,,,,,,,,,,,,,
84001015,1015,Calhoun,Alabama,"Calhoun, Alabama",113605,0,0,0,1,10,51,31,34,25,30,30,191,467,720,1590,,,,,,,,,,,,,,
84001017,1017,Chambers,Alabama,"Chambers, Alabama",33254,0,0,0,0,42,179,72,31,16,61,128,118,101,80,828,,,,,,,,,,,,,,
84001019,1019,Cherokee,Alabama,"Cherokee, Alabama",26196,0,0,0,0,2,7,6,9,9,9,14,55,63,73,247,,,,,,,,,,,,,,
84001021,1021,Chilton,Alabama,"Chilton, Alabama",44428,0,0,0,0,13,22,18,20,20,25,60,98,231,215,722,,,,,,,,,,,,,,
84001023,1023,Choctaw,Alabama,"Choctaw, Alabama",12589,0,0,0,0,4,8,27,33,76,10,27,14,45,32,276,,,,,,,,,,,,,,
84001025,1025,Clarke,Alabama,"Clarke, Alabama",23622,0,0,0,0,0,21,9,35,63,35,67,57,116,84,487,,,,,,,,,,,,,,
