UID,FIPS,Admin2,Province_State,Combined_Key,2/5/20,2/19/20,3/4/20,3/18/20,4/1/20,4/15/20,4/29/20,5/13/20,5/27/20,6/10/20,6/24/20,7/8/20,7/22/20,8/5/20
84001001,1001,Autauga,Alabama,"Autauga, Alabama",0.0,0.0,0.0,0.0,14.3,28.6,34.0,89.5,177.2,184.4,300.7,322.2,393.8,298.9
84001003,1003,Baldwin,Alabama,"Baldwin, Alabama",0.0,0.0,0.0,0.4,8.5,31.8,37.2,25.5,22.8,22.0,52.9,264.3,504.0,492.3
84001005,1005,Barbour,Alabama,"Barbour, Alabama",0.0,0.0,0.0,0.0,0.0,48.6,101.3,129.6,247.1,316.0,320.0,303.8,506.4,307.9
84001007,1007,Bibb,Alabama,"Bibb, Alabama",0.0,0.0,0.0,0.0,13.4,67.0,107.2,17.9,111.6,80.4,218.8,267.9,375.1,442.1
84001009,1009,Blount,Alabama,"Blount, Alabama",0.0,0.0,0.0,0.0,8.6,20.8,32.9,15.6,13.8,45.0,148.7,160.8,415.0,420.2
84001011,1011,Bullock,Alabama,"Bullock, Alabama",0.0,0.0,0.0,0.0,29.7,49.5,39.6,158.4,1465.2,712.8,831.6,366.3,326.7,386.1
84001013,1013,Butler,Alabama,"Butler, Alabama",0.0,0.0,0.0,0.0,5.1,41.1,210.8,925.5,827.8,411.4,570.8,282.8,287.9,298.2
84001015,1015,Calhoun,Alabama,"Calhoun, Alabama",0.0,0.0,0.0,0.9,8.8,44.9,27.3,29.9,22.0,26.4,26.4,168.1,411.1,633.8
84001017,1017,Chambers,Alabama,"Chambers, Alabama",0.0,0.0,0.0,0.0,126.3,538.3,216.5,93.2,48.1,183.4,384.9,354.8,303.7,240.6
84001019,1019,Cherokee,Alabama,"Cherokee, Alabama",0.0,0.0,0.0,0.0,7.6,26.7,22.9,34.4,34.4,34.4,53.4,210.0,240.5,278.7
84001021,1021,Chilton,Alabama,"Chilton, Alabama",0.0,0.0,0.0,0.0,29.3,49.5,40.5,45.0,45.0,56.3,135.0,220.6,519.9,483.9
84001023,1023,Choctaw,Alabama,"Choctaw, Alabama",0.0,0.0,0.0,0.0,31.8,63.5,214.5,262.1,603.7,79.4,214.5,111.2,357.5,254.2
84001025,1025,Clarke,Alabama,"Clarke, Alabama",0.0,0.0,0.0,0.0,0.0,88.9,38.1,148.2,266.7,148.2,283.6,241.3,491.1,355.6
84001027,1027,Clay,Alabama,"Clay, Alabama",0.0,0.0,0.0,0.0,15.1,90.7,52.9,45.3,0.0,22.7,30.2,264.5,498.7,664.9
84001029,1029,Cleburne,Alabama,"Cleburne, Alabama",0.0,0.0,0.0,0.0,40.2,40.2,0.0,6.7,0.0,40.2,26.8,107.3,288.4,261.6
84001031,1031,Coffee,Alabama,"Coffee, Alabama",0.0,0.0,0.0,0.0,0.0,76.4,128.0,97.4,116.5,59.2,145.2,126.1,311.4,307.6
84001033,1033,Colbert,Alabama,"Colbert, Alabama",0.0,0.0,0.0,0.0,7.2,12.7,29.0,85.1,157.5,105.0,172.0,231.7,657.1,546.7
