UID,FIPS,Admin2,Province_State,Combined_Key,2019 Census Population,2/5/20,2/19/20,3/4/20,3/18/20,4/1/20,4/15/20,4/29/20,5/13/20,5/27/20,6/10/20,6/24/20,7/8/20,7/22/20,8/5/20
84001001,1001,Autauga,Alabama,"Autauga, Alabama",55869,0.0,0.0,0.0,0.0,0.0,1.8,5.4,0.0,-1.8,5.4,7.2,3.6,14.3,0.0
84001003,1003,Baldwin,Alabama,"Baldwin, Alabama",223234,0.0,0.0,0.0,0.0,0.4,0.4,0.4,1.8,0.9,0.0,0.0,0.0,2.7,3.6
84001005,1005,Barbour,Alabama,"Barbour, Alabama",24686,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,4.1,8.1,4.1
84001007,1007,Bibb,Alabama,"Bibb, Alabama",22394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.5,4.5
84001009,1009,Blount,Alabama,"Blount, Alabama",57826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,3.5
84001011,1011,Bullock,Alabama,"Bullock, Alabama",10101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,19.8,49.5,19.8,0.0,9.9,0.0
84001013,1013,Butler,Alabama,"Butler, Alabama",19448,0.0,0.0,0.0,0.0,0.0,0.0,5.1,25.7,36.0,56.6,15.4,5.1,25.7,10.3
84001015,1015,Calhoun,Alabama,"Calhoun, Alabama",113605,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,1.8,0.0,0.9,5.3
84001017,1017,Chambers,Alabama,"Chambers, Alabama",33254,0.0,0.0,0.0,0.0,12.0,18.0,27.1,9.0,6.0,6.0,3.0,0.0,21.1,12.0
84001019,1019,Cherokee,Alabama,"Cherokee, Alabama",26196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,7.6,11.5,0.0,0.0,0.0
84001021,1021,Chilton,Alabama,"Chilton, Alabama",44428,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,2.3,0.0,0.0,4.5,4.5
84001023,1023,Choctaw,Alabama,"Choctaw, Alabama",12589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,39.7,31.8,7.9,0.0,0.0,0.0
84001025,1025,Clarke,Alabama,"Clarke, Alabama",23622,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,4.2,4.2,8.5,4.2,8.5,4.2
84001027,1027,Clay,Alabama,"Clay, Alabama",13235,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,7.6,0.0,0.0,0.0,0.0,22.7
84001029,1029,Cleburne,Alabama,"Cleburne, Alabama",14910,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84001031,1031,Coffee,Alabama,"Coffee, Alabama",52342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,3.8,1.9,1.9
84001033,1033,Colbert,Alabama,"Colbert, Alabama",55241,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.0,0.0,5.4,0.0,1.8,7.2,3.6
84001035,1035,Conecuh,Alabama,"Conecuh, Alabama",12067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,16.6,33.1,16.6,8.3
84001037,1037,Coosa,Alabama,"Coosa, Alabama",10663,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4
84001039,1039,Covington,Alabama,"Covington, Alabama",37049,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,8.1,16.2,18.9,8.1
84001041,1041,Crenshaw,Alabama,"Crenshaw, Alabama",13772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.3,7.3,0.0,0.0,0.0,0.0
84001043,1043,Cullman,Alabama,"Cullman, Alabama",83768,0.0,0.0,0.0,0.0,1.2,0.0,-1.2,0.0,0.0,1.2,2.4,2.4,2.4,4.8
84001045,1045,Dale,Alabama,"Dale, Alabama",49172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.2,28.5
84001047,1047,Dallas,Alabama,"Dallas, Alabama",37196,0.0,0.0,0.0,0.0,0.0,5.4,2.7,0.0,0.0,8.1,2.7,5.4,18.8,18.8
84001049,1049,DeKalb,Alabama,"DeKalb, Alabama",71513,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,1.4,2.8,0.0,0.0,4.2,7.0
84001051,1051,Elmore,Alabama,"Elmore, Alabama",81209,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.9,2.5,2.5,3.7,8.6,17.2,4.9
84001053,1053,Escambia,Alabama,"Escambia, Alabama",36633,0.0,0.0,0.0,0.0,0.0,0.0,2.7,5.5,0.0,0.0,8.2,5.5,19.1,0.0
84001055,1055,Etowah,Alabama,"Etowah, Alabama",102268,0.0,0.0,0.0,0.0,1.0,5.9,1.0,2.0,1.0,1.0,0.0,1.0,2.0,12.7
84001057,1057,Fayette,Alabama,"Fayette, Alabama",16302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,24.5,0.0
84001059,1059,Franklin,Alabama,"Franklin, Alabama",31362,0.0,0.0,0.0,0.0,0.0,3.2,-3.2,9.6,9.6,12.8,0.0,19.1,3.2,9.6
84001061,1061,Geneva,Alabama,"Geneva, Alabama",26271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84001063,1063,Greene,Alabama,"Greene, Alabama",8111,0.0,0.0,0.0,0.0,0.0,0.0,12.3,37.0,0.0,12.3,12.3,24.7,24.7,12.3
84001065,1065,Hale,Alabama,"Hale, Alabama",14651,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,27.3,34.1,54.6,20.5,0.0,27.3
84001067,1067,Henry,Alabama,"Henry, Alabama",17205,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,5.8,0.0,11.6,-5.8,0.0,0.0
84001069,1069,Houston,Alabama,"Houston, Alabama",105882,0.0,0.0,0.0,0.0,0.0,1.9,0.9,0.9,0.0,0.9,-0.9,1.9,1.9,3.8
84001071,1071,Jackson,Alabama,"Jackson, Alabama",51626,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,1.9,0.0,-1.9,1.9,1.9
84001073,1073,Jefferson,Alabama,"Jefferson, Alabama",658573,0.0,0.0,0.0,0.0,0.6,2.0,3.9,3.2,5.0,2.3,2.6,4.9,4.4,5.8
84001075,1075,Lamar,Alabama,"Lamar, Alabama",13805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,7.2
84001077,1077,Lauderdale,Alabama,"Lauderdale, Alabama",92729,0.0,0.0,0.0,0.0,1.1,3.2,-2.2,0.0,0.0,1.1,1.1,2.2,3.2,3.2
84001079,1079,Lawrence,Alabama,"Lawrence, Alabama",32924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84001081,1081,Lee,Alabama,"Lee, Alabama",164542,0.0,0.0,0.0,0.0,1.2,6.1,9.7,1.2,1.2,1.8,0.6,0.6,0.6,1.2
84001083,1083,Limestone,Alabama,"Limestone, Alabama",98915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.1,6.1
84001085,1085,Lowndes,Alabama,"Lowndes, Alabama",9726,0.0,0.0,0.0,0.0,0.0,0.0,10.3,72.0,20.6,30.8,41.1,51.4,20.6,0.0
84001087,1087,Macon,Alabama,"Macon, Alabama",18068,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,16.6,11.1,11.1,11.1,11.1
84001089,1089,Madison,Alabama,"Madison, Alabama",372909,0.0,0.0,0.0,0.0,0.3,0.5,0.3,0.0,0.0,0.3,0.3,0.5,2.1,2.9
84001091,1091,Marengo,Alabama,"Marengo, Alabama",18863,0.0,0.0,0.0,0.0,0.0,5.3,10.6,10.6,5.3,5.3,21.2,0.0,0.0,15.9
84001093,1093,Marion,Alabama,"Marion, Alabama",29709,0.0,0.0,0.0,0.0,6.7,6.7,6.7,10.1,6.7,3.4,0.0,6.7,23.6,10.1
84001095,1095,Marshall,Alabama,"Marshall, Alabama",96774,0.0,0.0,0.0,0.0,0.0,2.1,4.1,3.1,0.0,0.0,0.0,2.1,10.3,12.4
84001097,1097,Mobile,Alabama,"Mobile, Alabama",413210,0.0,0.0,0.0,0.0,0.7,3.4,8.2,10.9,3.9,3.6,1.7,0.5,7.7,7.0
84001099,1099,Monroe,Alabama,"Monroe, Alabama",20733,0.0,0.0,0.0,0.0,0.0,4.8,0.0,4.8,0.0,0.0,0.0,0.0,4.8,4.8
84001101,1101,Montgomery,Alabama,"Montgomery, Alabama",226486,0.0,0.0,0.0,0.0,0.4,1.8,0.4,5.7,6.6,11.9,11.5,9.7,7.9,8.8
84001103,1103,Morgan,Alabama,"Morgan, Alabama",119679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,2.5,5.0,3.3
84001105,1105,Perry,Alabama,"Perry, Alabama",8923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,22.4,11.2
84001107,1107,Pickens,Alabama,"Pickens, Alabama",19930,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,0.0,0.0,15.1,0.0
84001109,1109,Pike,Alabama,"Pike, Alabama",33114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.1,3.0,3.0,3.0
84001111,1111,Randolph,Alabama,"Randolph, Alabama",22722,0.0,0.0,0.0,0.0,0.0,17.6,0.0,13.2,0.0,4.4,4.4,0.0,4.4,0.0
84001113,1113,Russell,Alabama,"Russell, Alabama",57961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0
84001115,1115,St. Clair,Alabama,"St. Clair, Alabama",89512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,3.4,7.8
84001117,1117,Shelby,Alabama,"Shelby, Alabama",217702,0.0,0.0,0.0,0.0,1.4,1.8,1.8,3.2,0.5,0.5,1.4,0.5,1.4,2.3
84001119,1119,Sumter,Alabama,"Sumter, Alabama",12427,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,16.1,32.2,16.1,0.0,8.0,40.2
84001121,1121,Talladega,Alabama,"Talladega, Alabama",79978,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,1.3,2.5,1.3,1.3,1.3,6.3
84001123,1123,Tallapoosa,Alabama,"Tallapoosa, Alabama",40367,0.0,0.0,0.0,0.0,2.5,14.9,24.8,84.2,29.7,7.4,7.4,0.0,12.4,9.9
84001125,1125,Tuscaloosa,Alabama,"Tuscaloosa, Alabama",209355,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.3,1.9,5.3,5.7,6.2,4.3,4.3
84001127,1127,Walker,Alabama,"Walker, Alabama",63521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,7.9,9.4,20.5,44.1,17.3
84001129,1129,Washington,Alabama,"Washington, Alabama",16326,0.0,0.0,0.0,0.0,6.1,0.0,0.0,24.5,6.1,0.0,0.0,6.1,12.3,18.4
84001131,1131,Wilcox,Alabama,"Wilcox, Alabama",10373,0.0,0.0,0.0,0.0,0.0,0.0,9.6,38.6,19.3,9.6,0.0,0.0,9.6,0.0
84001133,1133,Winston,Alabama,"Winston, Alabama",23629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,4.2,25.4,8.5
84002013,2013,Aleutians East,Alaska,"Aleutians East, Alaska",3337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84002016,2016,Aleutians West,Alaska,"Aleutians West, Alaska",5634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84002020,2020,Anchorage,Alaska,"Anchorage,Alask",288000,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.3,0.3,0.3,0.7,1.4
84002050,2050,Bethel,Alaska,"Bethel, Alaska",18386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84002060,2060,Bristol Bay,Alaska,"Bristol Bay, Alaska",836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84002068,2068,Denali,Alaska,"Denali, Alaska",2097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84002070,2070,Dillingham,Alaska,"Dillingham, Alaska",4916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84002090,2090,Fairbanks North Star,Alaska,"Fairbanks North Star,Alask",96849,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.1
84002100,2100,Haines,Alaska,"Haines, Alaska",2530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
