UID,FIPS,Admin2,Province_State,Combined_Key,2019 Population,2/19/20,3/18/20,4/15/20,5/13/20,6/10/20,7/8/20,8/5/20,Sum,Check
84001001,1001,Autauga,Alabama,"Autauga, Alabama"," 55,869 ",0,0,24,69,202,348,387,1030,0
84001003,1003,Baldwin,Alabama,"Baldwin, Alabama"," 223,234 ",0,1,90,140,100,708,2224,3263,0
84001005,1005,Barbour,Alabama,"Barbour, Alabama"," 24,686 ",0,0,12,57,139,154,201,563,0
84001007,1007,Bibb,Alabama,"Bibb, Alabama"," 22,394 ",0,0,18,28,43,109,183,381,0
84001009,1009,Blount,Alabama,"Blount, Alabama"," 57,826 ",0,0,17,28,34,179,483,741,0
84001011,1011,Bullock,Alabama,"Bullock, Alabama"," 10,101 ",0,0,8,20,220,121,72,441,0
84001013,1013,Butler,Alabama,"Butler, Alabama"," 19,448 ",0,0,9,221,241,166,114,751,0
84001015,1015,Calhoun,Alabama,"Calhoun, Alabama"," 113,605 ",0,1,61,65,55,221,1187,1590,0
84001017,1017,Chambers,Alabama,"Chambers, Alabama"," 33,254 ",0,0,221,103,77,246,181,828,0
84001019,1019,Cherokee,Alabama,"Cherokee, Alabama"," 26,196 ",0,0,9,15,18,69,136,247,0
84001021,1021,Chilton,Alabama,"Chilton, Alabama"," 44,428 ",0,0,35,38,45,158,446,722,0
84001023,1023,Choctaw,Alabama,"Choctaw, Alabama"," 12,589 ",0,0,12,60,86,41,77,276,0
84001025,1025,Clarke,Alabama,"Clarke, Alabama"," 23,622 ",0,0,21,44,98,124,200,487,0
84001027,1027,Clay,Alabama,"Clay, Alabama"," 13,235 ",0,0,14,13,3,39,154,223,0
84001029,1029,Cleburne,Alabama,"Cleburne, Alabama"," 14,910 ",0,0,12,1,6,20,82,121,0
84001031,1031,Coffee,Alabama,"Coffee, Alabama"," 52,342 ",0,0,40,118,92,142,324,716,0
84001033,1033,Colbert,Alabama,"Colbert, Alabama"," 55,241 ",0,0,11,63,145,223,665,1107,0
84001035,1035,Conecuh,Alabama,"Conecuh, Alabama"," 12,067 ",0,0,5,11,48,154,154,372,0
84001037,1037,Coosa,Alabama,"Coosa, Alabama"," 10,663 ",0,0,19,14,8,19,32,92,0
84001039,1039,Covington,Alabama,"Covington, Alabama"," 37,049 ",0,0,17,39,36,289,334,715,0
84001041,1041,Crenshaw,Alabama,"Crenshaw, Alabama"," 13,772 ",0,0,3,45,48,29,172,297,0
84001043,1043,Cullman,Alabama,"Cullman, Alabama"," 83,768 ",0,0,40,27,145,278,667,1157,0
84001045,1045,Dale,Alabama,"Dale, Alabama"," 49,172 ",0,0,12,41,88,185,461,787,0
84001047,1047,Dallas,Alabama,"Dallas, Alabama"," 37,196 ",0,0,18,111,246,543,376,1294,0
84001049,1049,DeKalb,Alabama,"DeKalb, Alabama"," 71,513 ",0,0,29,150,99,512,928,1718,0
