UID,FIPS,County,State,Combined_Key,2/19/20,3/18/20,4/15/20,5/13/20,6/10/20,7/8/20,8/5/20
84001001,1001,Autauga,Alabama,"Autauga, Alabama",0,0,43,123.5,361.6,622.9,692.7
84001003,1003,Baldwin,Alabama,"Baldwin, Alabama",0,0.4,40.3,62.7,44.8,317.2,996.3
84001005,1005,Barbour,Alabama,"Barbour, Alabama",0,0,48.6,230.9,563.1,623.8,814.2
84001007,1007,Bibb,Alabama,"Bibb, Alabama",0,0,80.4,125,192,486.7,817.2
84001009,1009,Blount,Alabama,"Blount, Alabama",0,0,29.4,48.4,58.8,309.5,835.3
84001011,1011,Bullock,Alabama,"Bullock, Alabama",0,0,79.2,198,2178,1197.9,712.8
84001013,1013,Butler,Alabama,"Butler, Alabama",0,0,46.3,1136.4,1239.2,853.6,586.2
84001015,1015,Calhoun,Alabama,"Calhoun, Alabama",0,0.9,53.7,57.2,48.4,194.5,1044.8
84001017,1017,Chambers,Alabama,"Chambers, Alabama",0,0,664.6,309.7,231.6,739.8,544.3
84001019,1019,Cherokee,Alabama,"Cherokee, Alabama",0,0,34.4,57.3,68.7,263.4,519.2
84001021,1021,Chilton,Alabama,"Chilton, Alabama",0,0,78.8,85.5,101.3,355.6,1003.9
84001023,1023,Choctaw,Alabama,"Choctaw, Alabama",0,0,95.3,476.6,683.1,325.7,611.6
84001025,1025,Clarke,Alabama,"Clarke, Alabama",0,0,88.9,186.3,414.9,524.9,846.7
84001027,1027,Clay,Alabama,"Clay, Alabama",0,0,105.8,98.2,22.7,294.7,1163.6
84001029,1029,Cleburne,Alabama,"Cleburne, Alabama",0,0,80.5,6.7,40.2,134.1,550
84001031,1031,Coffee,Alabama,"Coffee, Alabama",0,0,76.4,225.4,175.8,271.3,619
84001033,1033,Colbert,Alabama,"Colbert, Alabama",0,0,19.9,114,262.5,403.7,1203.8
84001035,1035,Conecuh,Alabama,"Conecuh, Alabama",0,0,41.4,91.2,397.8,1276.2,1276.2
84001037,1037,Coosa,Alabama,"Coosa, Alabama",0,0,178.2,131.3,75,178.2,300.1
84001039,1039,Covington,Alabama,"Covington, Alabama",0,0,45.9,105.3,97.2,780,901.5
84001041,1041,Crenshaw,Alabama,"Crenshaw, Alabama",0,0,21.8,326.7,348.5,210.6,1248.9
84001043,1043,Cullman,Alabama,"Cullman, Alabama",0,0,47.8,32.2,173.1,331.9,796.2
84001045,1045,Dale,Alabama,"Dale, Alabama",0,0,24.4,83.4,179,376.2,937.5
84001047,1047,Dallas,Alabama,"Dallas, Alabama",0,0,48.4,298.4,661.4,1459.8,1010.9
84001049,1049,DeKalb,Alabama,"DeKalb, Alabama",0,0,40.6,209.8,138.4,716,1297.7
84001051,1051,Elmore,Alabama,"Elmore, Alabama",0,4.9,52.9,135.5,357.1,650.2,801.6
84001053,1053,Escambia,Alabama,"Escambia, Alabama",0,0,24.6,79.2,144.7,939,1485
84001055,1055,Etowah,Alabama,"Etowah, Alabama",0,0,76.3,116.4,81.2,541.7,1098.1
84001057,1057,Fayette,Alabama,"Fayette, Alabama",0,0,24.5,30.7,85.9,300.6,638
84001059,1059,Franklin,Alabama,"Franklin, Alabama",0,0,44.6,816.3,1160.6,867.3,956.6
84001061,1061,Geneva,Alabama,"Geneva, Alabama",0,0,7.6,57.1,110.4,152.3,593.8
84001063,1063,Greene,Alabama,"Greene, Alabama",0,0,221.9,690.4,406.9,998.6,702.7
84001065,1065,Hale,Alabama,"Hale, Alabama",0,0,122.9,382.2,928.3,730.3,955.6
84001067,1067,Henry,Alabama,"Henry, Alabama",0,0,81.4,110.4,348.7,273.2,616.1
84001069,1069,Houston,Alabama,"Houston, Alabama",0,0,51,57.6,136,261.6,747.1
84001071,1071,Jackson,Alabama,"Jackson, Alabama",0,0,60,56.2,79.4,468.8,1020.8
84001073,1073,Jefferson,Alabama,"Jefferson, Alabama",0,3.8,91.1,87.2,150,531.5,964.5
