UID,FIPS,County,State,Combined_Key,Population (JH),Total Deaths as of 8/4/2020,Rate - Total Deaths of 8/4/2020
84001001,01001,Autauga,Alabama,"Autauga, Alabama, US",55869,20,35.8
84001003,01003,Baldwin,Alabama,"Baldwin, Alabama, US",223234,23,10.3
84001005,01005,Barbour,Alabama,"Barbour, Alabama, US",24686,5,20.3
84001007,01007,Bibb,Alabama,"Bibb, Alabama, US",22394,3,13.4
84001009,01009,Blount,Alabama,"Blount, Alabama, US",57826,3,5.2
84001011,01011,Bullock,Alabama,"Bullock, Alabama, US",10101,11,108.9
84001013,01013,Butler,Alabama,"Butler, Alabama, US",19448,35,180.0
84001015,01015,Calhoun,Alabama,"Calhoun, Alabama, US",113605,12,10.6
84001017,01017,Chambers,Alabama,"Chambers, Alabama, US",33254,38,114.3
84001019,01019,Cherokee,Alabama,"Cherokee, Alabama, US",26196,7,26.7
84001021,01021,Chilton,Alabama,"Chilton, Alabama, US",44428,6,13.5
84001023,01023,Choctaw,Alabama,"Choctaw, Alabama, US",12589,12,95.3
84001025,01025,Clarke,Alabama,"Clarke, Alabama, US",23622,9,38.1
84001027,01027,Clay,Alabama,"Clay, Alabama, US",13235,5,37.8
84001029,01029,Cleburne,Alabama,"Cleburne, Alabama, US",14910,1,6.7
84001031,01031,Coffee,Alabama,"Coffee, Alabama, US",52342,5,9.6
84001033,01033,Colbert,Alabama,"Colbert, Alabama, US",55241,12,21.7
84001035,01035,Conecuh,Alabama,"Conecuh, Alabama, US",12067,10,82.9
84001037,01037,Coosa,Alabama,"Coosa, Alabama, US",10663,2,18.8
84001039,01039,Covington,Alabama,"Covington, Alabama, US",37049,20,54.0
84001041,01041,Crenshaw,Alabama,"Crenshaw, Alabama, US",13772,3,21.8
84001043,01043,Cullman,Alabama,"Cullman, Alabama, US",83768,11,13.1
84001045,01045,Dale,Alabama,"Dale, Alabama, US",49172,22,44.7
84001047,01047,Dallas,Alabama,"Dallas, Alabama, US",37196,23,61.8
84001049,01049,DeKalb,Alabama,"DeKalb, Alabama, US",71513,13,18.2
84001051,01051,Elmore,Alabama,"Elmore, Alabama, US",81209,37,45.6
84001053,01053,Escambia,Alabama,"Escambia, Alabama, US",36633,15,40.9
84001055,01055,Etowah,Alabama,"Etowah, Alabama, US",102268,28,27.4
84001057,01057,Fayette,Alabama,"Fayette, Alabama, US",16302,5,30.7
84001059,01059,Franklin,Alabama,"Franklin, Alabama, US",31362,20,63.8
84001061,01061,Geneva,Alabama,"Geneva, Alabama, US",26271,0,0.0
84001063,01063,Greene,Alabama,"Greene, Alabama, US",8111,11,135.6
84001065,01065,Hale,Alabama,"Hale, Alabama, US",14651,26,177.5
84001067,01067,Henry,Alabama,"Henry, Alabama, US",17205,3,17.4
84001069,01069,Houston,Alabama,"Houston, Alabama, US",105882,12,11.3
84001071,01071,Jackson,Alabama,"Jackson, Alabama, US",51626,4,7.7
84001073,01073,Jefferson,Alabama,"Jefferson, Alabama, US",658573,228,34.6
84001075,01075,Lamar,Alabama,"Lamar, Alabama, US",13805,2,14.5
84001077,01077,Lauderdale,Alabama,"Lauderdale, Alabama, US",92729,12,12.9
84001079,01079,Lawrence,Alabama,"Lawrence, Alabama, US",32924,0,0.0
84001081,01081,Lee,Alabama,"Lee, Alabama, US",164542,40,24.3
84001083,01083,Limestone,Alabama,"Limestone, Alabama, US",98915,13,13.1
84001085,01085,Lowndes,Alabama,"Lowndes, Alabama, US",9726,24,246.8
84001087,01087,Macon,Alabama,"Macon, Alabama, US",18068,13,72.0
84001089,01089,Madison,Alabama,"Madison, Alabama, US",372909,27,7.2
84001091,01091,Marengo,Alabama,"Marengo, Alabama, US",18863,14,74.2
84001093,01093,Marion,Alabama,"Marion, Alabama, US",29709,24,80.8
84001095,01095,Marshall,Alabama,"Marshall, Alabama, US",96774,33,34.1
84001097,01097,Mobile,Alabama,"Mobile, Alabama, US",413210,197,47.7
84001099,01099,Monroe,Alabama,"Monroe, Alabama, US",20733,4,19.3
84001101,01101,Montgomery,Alabama,"Montgomery, Alabama, US",226486,147,64.9
84001103,01103,Morgan,Alabama,"Morgan, Alabama, US",119679,15,12.5
84001105,01105,Perry,Alabama,"Perry, Alabama, US",8923,4,44.8
84001107,01107,Pickens,Alabama,"Pickens, Alabama, US",19930,9,45.2
84001109,01109,Pike,Alabama,"Pike, Alabama, US",33114,7,21.1
84001111,01111,Randolph,Alabama,"Randolph, Alabama, US",22722,10,44.0
84001113,01113,Russell,Alabama,"Russell, Alabama, US",57961,1,1.7
84001115,01115,St. Clair,Alabama,"St. Clair, Alabama, US",89512,12,13.4
84001117,01117,Shelby,Alabama,"Shelby, Alabama, US",217702,32,14.7
84001119,01119,Sumter,Alabama,"Sumter, Alabama, US",12427,18,144.8
84001121,01121,Talladega,Alabama,"Talladega, Alabama, US",79978,13,16.3
84001123,01123,Tallapoosa,Alabama,"Tallapoosa, Alabama, US",40367,78,193.2
84001125,01125,Tuscaloosa,Alabama,"Tuscaloosa, Alabama, US",209355,66,31.5
84001127,01127,Walker,Alabama,"Walker, Alabama, US",63521,64,100.8
84001129,01129,Washington,Alabama,"Washington, Alabama, US",16326,12,73.5
84001131,01131,Wilcox,Alabama,"Wilcox, Alabama, US",10373,9,86.8
84001133,01133,Winston,Alabama,"Winston, Alabama, US",23629,11,46.6
84002013,02013,Aleutians East,Alaska,"Aleutians East, Alaska, US",3337,0,0.0
84002016,02016,Aleutians West,Alaska,"Aleutians West, Alaska, US",5634,0,0.0
84002020,02020,Anchorage,Alaska,"Anchorage,Alaska,US",288000,13,4.5
84002050,02050,Bethel,Alaska,"Bethel, Alaska, US",18386,0,0.0
84002060,02060,Bristol Bay,Alaska,"Bristol Bay, Alaska, US",836,0,0.0
84002068,02068,Denali,Alaska,"Denali, Alaska, US",2097,0,0.0
84002070,02070,Dillingham,Alaska,"Dillingham, Alaska, US",4916,0,0.0
84002090,02090,Fairbanks North Star,Alaska,"Fairbanks North Star,Alaska,US",96849,5,5.2
84002100,02100,Haines,Alaska,"Haines, Alaska, US",2530,0,0.0
84002105,02105,Hoonah-Angoon,Alaska,"Hoonah-Angoon, Alaska, US",2148,0,0.0
84002110,02110,Juneau,Alaska,"Juneau, Alaska, US",31974,1,3.1
84002122,02122,Kenai Peninsula,Alaska,"Kenai Peninsula,Alaska,US",58708,2,3.4
84002130,02130,Ketchikan Gateway,Alaska,"Ketchikan Gateway, Alaska, US",13901,0,0.0
84002150,02150,Kodiak Island,Alaska,"Kodiak Island, Alaska, US",12998,0,0.0
84002158,02158,Kusilvak,Alaska,"Kusilvak, Alaska, US",8314,0,0.0
84002164,02164,Lake and Peninsula,Alaska,"Lake and Peninsula, Alaska, US",1592,0,0.0
84002170,02170,Matanuska-Susitna,Alaska,"Matanuska-Susitna,Alaska,US",108317,2,1.8
84002180,02180,Nome,Alaska,"Nome, Alaska, US",10004,0,0.0
84002185,02185,North Slope,Alaska,"North Slope, Alaska, US",9832,0,0.0
84002188,02188,Northwest Arctic,Alaska,"Northwest Arctic, Alaska, US",7621,0,0.0
