"","state","county","percent_of_adults_with_less_than_a_high_school_diploma_2014_18","percent_of_adults_with_a_high_school_diploma_only_2014_18","percent_of_adults_completing_some_college_or_associates_degree_2014_18","percent_of_adults_with_a_bachelors_degree_or_higher_2014_18","state_fips_code","county_fips_code"
"1","AL","Autauga",11.3,32.6,28.4,27.7,1,1
"2","AL","Baldwin",9.7,27.6,31.3,31.3,1,3
"3","AL","Baldwin",9.7,27.6,31.3,31.3,13,9
"4","AL","Barbour",27,35.7,25.1,12.2,1,5
"5","AL","Barbour",27,35.7,25.1,12.2,54,1
"6","AL","Bibb",16.8,47.3,24.4,11.5,1,7
"7","AL","Bibb",16.8,47.3,24.4,11.5,13,21
"8","AL","Blount",19.8,34,33.5,12.6,1,9
"9","AL","Blount",19.8,34,33.5,12.6,47,9
"10","AL","Bullock",24.8,39.7,22.3,13.3,1,11
"11","AL","Butler",15.4,43.9,24.6,16.1,1,13
"12","AL","Butler",15.4,43.9,24.6,16.1,19,23
"13","AL","Butler",15.4,43.9,24.6,16.1,20,15
"14","AL","Butler",15.4,43.9,24.6,16.1,21,31
"15","AL","Butler",15.4,43.9,24.6,16.1,29,23
"16","AL","Butler",15.4,43.9,24.6,16.1,31,23
"17","AL","Butler",15.4,43.9,24.6,16.1,39,17
"18","AL","Butler",15.4,43.9,24.6,16.1,42,19
"19","AL","Calhoun",15.9,32.4,33.7,18,1,15
"20","AL","Calhoun",15.9,32.4,33.7,18,5,13
"21","AL","Calhoun",15.9,32.4,33.7,18,12,13
"22","AL","Calhoun",15.9,32.4,33.7,18,13,37
"23","AL","Calhoun",15.9,32.4,33.7,18,17,13
"24","AL","Calhoun",15.9,32.4,33.7,18,19,25
"25","AL","Calhoun",15.9,32.4,33.7,18,26,25
"26","AL","Calhoun",15.9,32.4,33.7,18,28,13
"27","AL","Calhoun",15.9,32.4,33.7,18,45,17
"28","AL","Calhoun",15.9,32.4,33.7,18,48,57
"29","AL","Calhoun",15.9,32.4,33.7,18,54,13
"30","AL","Chambers",18.6,38.4,29.7,13.2,1,17
"31","AL","Chambers",18.6,38.4,29.7,13.2,48,71
"32","AL","Cherokee",19.8,38.3,29,12.9,1,19
"33","AL","Cherokee",19.8,38.3,29,12.9,13,57
"34","AL","Cherokee",19.8,38.3,29,12.9,19,35
"35","AL","Cherokee",19.8,38.3,29,12.9,20,21
"36","AL","Cherokee",19.8,38.3,29,12.9,37,39
"37","AL","Cherokee",19.8,38.3,29,12.9,40,21
"38","AL","Cherokee",19.8,38.3,29,12.9,45,21
"39","AL","Cherokee",19.8,38.3,29,12.9,48,73
"40","AL","Chilton",17.8,44.1,24,14.2,1,21
"41","AL","Choctaw",18.6,38.2,30.2,13,1,23
"42","AL","Choctaw",18.6,38.2,30.2,13,28,19
"43","AL","Choctaw",18.6,38.2,30.2,13,40,23
"44","AL","Clarke",18.8,43.7,24.9,12.6,1,25
"45","AL","Clarke",18.8,43.7,24.9,12.6,13,59
"46","AL","Clarke",18.8,43.7,24.9,12.6,19,39
"47","AL","Clarke",18.8,43.7,24.9,12.6,28,23
"48","AL","Clarke",18.8,43.7,24.9,12.6,51,43
"49","AL","Clay",24.5,36.3,29.1,10.2,1,27
"50","AL","Clay",24.5,36.3,29.1,10.2,5,21
"51","AL","Clay",24.5,36.3,29.1,10.2,12,19
"52","AL","Clay",24.5,36.3,29.1,10.2,13,61
"53","AL","Clay",24.5,36.3,29.1,10.2,17,25
"54","AL","Clay",24.5,36.3,29.1,10.2,18,21
"55","AL","Clay",24.5,36.3,29.1,10.2,19,41
"56","AL","Clay",24.5,36.3,29.1,10.2,20,27
"57","AL","Clay",24.5,36.3,29.1,10.2,21,51
"58","AL","Clay",24.5,36.3,29.1,10.2,27,27
"59","AL","Clay",24.5,36.3,29.1,10.2,28,25
"60","AL","Clay",24.5,36.3,29.1,10.2,29,47
"61","AL","Clay",24.5,36.3,29.1,10.2,31,35
"62","AL","Clay",24.5,36.3,29.1,10.2,37,43
"63","AL","Clay",24.5,36.3,29.1,10.2,46,27
"64","AL","Clay",24.5,36.3,29.1,10.2,47,27
"65","AL","Clay",24.5,36.3,29.1,10.2,48,77
"66","AL","Clay",24.5,36.3,29.1,10.2,54,15
"67","AL","Cleburne",22.6,39.6,24.1,13.7,1,29
"68","AL","Cleburne",22.6,39.6,24.1,13.7,5,23
"69","AL","Coffee",13.8,27.9,34.9,23.4,1,31
"70","AL","Coffee",13.8,27.9,34.9,23.4,13,69
