"","county","State","percent_white","percent_black","percent_indigenous","percent_asian","percent_pacific_islander","percent_hispanic_latino","state_fips_code","county_fips_code"
"1","Autauga"," Alabama",78.6,19.9,0.8,1.6,0.2,2.8,1,1
"2","Baldwin"," Alabama",87.8,9.8,1.5,1.4,0,4.5,1,3
"3","Baldwin"," Alabama",87.8,9.8,1.5,1.4,0,4.5,13,9
"4","Barbour"," Alabama",48.3,48.5,1.2,0.6,0,4.3,1,5
"5","Barbour"," Alabama",48.3,48.5,1.2,0.6,0,4.3,54,1
"6","Bibb"," Alabama",77.4,22.7,0.4,0.2,0,2.4,1,7
"7","Bibb"," Alabama",77.4,22.7,0.4,0.2,0,2.4,13,21
"8","Blount"," Alabama",97.1,1.9,1.2,0.5,0.1,9.1,1,9
"9","Blount"," Alabama",97.1,1.9,1.2,0.5,0.1,9.1,47,9
"10","Bullock"," Alabama",22,76.2,1.2,0.5,0,0.5,1,11
"11","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,1,13
"12","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,19,23
"13","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,20,15
"14","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,21,31
"15","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,29,23
"16","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,31,23
"17","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,39,17
"18","Butler"," Alabama",53.5,46,0.6,1.4,0,0.3,42,19
"19","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,1,15
"20","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,5,13
"21","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,12,13
"22","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,13,37
"23","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,17,13
"24","Calhoun"," Alabama",76.5,21.8,1.2,1.4,0.1,3.7,19,25
