LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,County,State,Period,Labor Force,Employed,Unemployed,Unemployment Rate(%),Fips Codes
CN0100100000000,01,001,"Autauga County, AL",Autauga,Alabama,Apr-20,"25,140     ","22,262     ","2,878     ",11.4     ,01001
CN0100300000000,01,003,"Baldwin County, AL",Baldwin,Alabama,Apr-20,"93,597     ","79,140     ","14,457     ",15.4     ,01003
CN0100500000000,01,005,"Barbour County, AL",Barbour,Alabama,Apr-20,"8,116     ","7,310     ",806     ,9.9     ,01005
CN0100700000000,01,007,"Bibb County, AL",Bibb,Alabama,Apr-20,"9,023     ","7,428     ","1,595     ",17.7     ,01007
CN0100900000000,01,009,"Blount County, AL",Blount,Alabama,Apr-20,"23,944     ","21,685     ","2,259     ",9.4     ,01009
CN0101100000000,01,011,"Bullock County, AL",Bullock,Alabama,Apr-20,"4,339     ","3,947     ",392     ,9.0     ,01011
CN0101300000000,01,013,"Butler County, AL",Butler,Alabama,Apr-20,"9,622     ","7,728     ","1,894     ",19.7     ,01013
CN0101500000000,01,015,"Calhoun County, AL",Calhoun,Alabama,Apr-20,"47,895     ","39,178     ","8,717     ",18.2     ,01015
CN0101700000000,01,017,"Chambers County, AL",Chambers,Alabama,Apr-20,"16,369     ","13,829     ","2,540     ",15.5     ,01017
CN0101900000000,01,019,"Cherokee County, AL",Cherokee,Alabama,Apr-20,"11,807     ","10,378     ","1,429     ",12.1     ,01019
CN0102100000000,01,021,"Chilton County, AL",Chilton,Alabama,Apr-20,"19,318     ","16,973     ","2,345     ",12.1     ,01021
CN0102300000000,01,023,"Choctaw County, AL",Choctaw,Alabama,Apr-20,"4,306     ","3,783     ",523     ,12.1     ,01023
CN0102500000000,01,025,"Clarke County, AL",Clarke,Alabama,Apr-20,"7,422     ","6,311     ","1,111     ",15.0     ,01025
CN0102700000000,01,027,"Clay County, AL",Clay,Alabama,Apr-20,"5,791     ","5,259     ",532     ,9.2     ,01027
CN0102900000000,01,029,"Cleburne County, AL",Cleburne,Alabama,Apr-20,"5,518     ","4,821     ",697     ,12.6     ,01029
CN0103100000000,01,031,"Coffee County, AL",Coffee,Alabama,Apr-20,"20,213     ","18,311     ","1,902     ",9.4     ,01031
CN0103300000000,01,033,"Colbert County, AL",Colbert,Alabama,Apr-20,"23,538     ","19,629     ","3,909     ",16.6     ,01033
CN0103500000000,01,035,"Conecuh County, AL",Conecuh,Alabama,Apr-20,"4,488     ","3,827     ",661     ,14.7     ,01035
CN0103700000000,01,037,"Coosa County, AL",Coosa,Alabama,Apr-20,"4,447     ","3,872     ",575     ,12.9     ,01037
CN0103900000000,01,039,"Covington County, AL",Covington,Alabama,Apr-20,"14,616     ","13,066     ","1,550     ",10.6     ,01039
CN0104100000000,01,041,"Crenshaw County, AL",Crenshaw,Alabama,Apr-20,"6,450     ","5,450     ","1,000     ",15.5     ,01041
CN0104300000000,01,043,"Cullman County, AL",Cullman,Alabama,Apr-20,"37,939     ","33,514     ","4,425     ",11.7     ,01043
CN0104500000000,01,045,"Dale County, AL",Dale,Alabama,Apr-20,"19,449     ","17,608     ","1,841     ",9.5     ,01045
CN0104700000000,01,047,"Dallas County, AL",Dallas,Alabama,Apr-20,"15,441     ","12,232     ","3,209     ",20.8     ,01047
CN0104900000000,01,049,"DeKalb County, AL",DeKalb,Alabama,Apr-20,"30,221     ","26,709     ","3,512     ",11.6     ,01049
CN0105100000000,01,051,"Elmore County, AL",Elmore,Alabama,Apr-20,"36,017     ","32,016     ","4,001     ",11.1     ,01051
CN0105300000000,01,053,"Escambia County, AL",Escambia,Alabama,Apr-20,"14,122     ","12,478     ","1,644     ",11.6     ,01053
