LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,County,State,Period,Labor Force,Employed,Unemployed,Unemployment Rate(%),Fips Codes
CN0100100000000,01,001,"Autauga County, AL",Autauga,Alabama,Aug-19,"26,079     ","25,368     ",711     ,2.7     ,01001
CN0100300000000,01,003,"Baldwin County, AL",Baldwin,Alabama,Aug-19,"97,939     ","95,367     ","2,572     ",2.6     ,01003
CN0100500000000,01,005,"Barbour County, AL",Barbour,Alabama,Aug-19,"8,652     ","8,322     ",330     ,3.8     ,01005
CN0100700000000,01,007,"Bibb County, AL",Bibb,Alabama,Aug-19,"8,670     ","8,403     ",267     ,3.1     ,01007
CN0100900000000,01,009,"Blount County, AL",Blount,Alabama,Aug-19,"25,309     ","24,641     ",668     ,2.6     ,01009
CN0101100000000,01,011,"Bullock County, AL",Bullock,Alabama,Aug-19,"4,836     ","4,653     ",183     ,3.8     ,01011
CN0101300000000,01,013,"Butler County, AL",Butler,Alabama,Aug-19,"9,324     ","8,955     ",369     ,4.0     ,01013
CN0101500000000,01,015,"Calhoun County, AL",Calhoun,Alabama,Aug-19,"46,104     ","44,535     ","1,569     ",3.4     ,01015
CN0101700000000,01,017,"Chambers County, AL",Chambers,Alabama,Aug-19,"15,778     ","15,320     ",458     ,2.9     ,01017
CN0101900000000,01,019,"Cherokee County, AL",Cherokee,Alabama,Aug-19,"11,589     ","11,264     ",325     ,2.8     ,01019
CN0102100000000,01,021,"Chilton County, AL",Chilton,Alabama,Aug-19,"19,786     ","19,257     ",529     ,2.7     ,01021
CN0102300000000,01,023,"Choctaw County, AL",Choctaw,Alabama,Aug-19,"4,486     ","4,274     ",212     ,4.7     ,01023
CN0102500000000,01,025,"Clarke County, AL",Clarke,Alabama,Aug-19,"7,485     ","7,021     ",464     ,6.2     ,01025
CN0102700000000,01,027,"Clay County, AL",Clay,Alabama,Aug-19,"6,094     ","5,917     ",177     ,2.9     ,01027
CN0102900000000,01,029,"Cleburne County, AL",Cleburne,Alabama,Aug-19,"5,777     ","5,612     ",165     ,2.9     ,01029
CN0103100000000,01,031,"Coffee County, AL",Coffee,Alabama,Aug-19,"21,369     ","20,771     ",598     ,2.8     ,01031
CN0103300000000,01,033,"Colbert County, AL",Colbert,Alabama,Aug-19,"23,564     ","22,700     ",864     ,3.7     ,01033
CN0103500000000,01,035,"Conecuh County, AL",Conecuh,Alabama,Aug-19,"4,556     ","4,379     ",177     ,3.9     ,01035
CN0103700000000,01,037,"Coosa County, AL",Coosa,Alabama,Aug-19,"4,576     ","4,441     ",135     ,3.0     ,01037
CN0103900000000,01,039,"Covington County, AL",Covington,Alabama,Aug-19,"15,594     ","15,053     ",541     ,3.5     ,01039
CN0104100000000,01,041,"Crenshaw County, AL",Crenshaw,Alabama,Aug-19,"6,399     ","6,226     ",173     ,2.7     ,01041
CN0104300000000,01,043,"Cullman County, AL",Cullman,Alabama,Aug-19,"38,204     ","37,201     ","1,003     ",2.6     ,01043
CN0104500000000,01,045,"Dale County, AL",Dale,Alabama,Aug-19,"20,705     ","20,097     ",608     ,2.9     ,01045
CN0104700000000,01,047,"Dallas County, AL",Dallas,Alabama,Aug-19,"14,533     ","13,695     ",838     ,5.8     ,01047
CN0104900000000,01,049,"DeKalb County, AL",DeKalb,Alabama,Aug-19,"30,999     ","30,164     ",835     ,2.7     ,01049
CN0105100000000,01,051,"Elmore County, AL",Elmore,Alabama,Aug-19,"37,408     ","36,447     ",961     ,2.6     ,01051
CN0105300000000,01,053,"Escambia County, AL",Escambia,Alabama,Aug-19,"14,766     ","14,253     ",513     ,3.5     ,01053
CN0105500000000,01,055,"Etowah County, AL",Etowah,Alabama,Aug-19,"42,344     ","40,926     ","1,418     ",3.3     ,01055
CN0105700000000,01,057,"Fayette County, AL",Fayette,Alabama,Aug-19,"6,553     ","6,345     ",208     ,3.2     ,01057
CN0105900000000,01,059,"Franklin County, AL",Franklin,Alabama,Aug-19,"14,749     ","14,359     ",390     ,2.6     ,01059
CN0106100000000,01,061,"Geneva County, AL",Geneva,Alabama,Aug-19,"11,041     ","10,724     ",317     ,2.9     ,01061
CN0106300000000,01,063,"Greene County, AL",Greene,Alabama,Aug-19,"2,886     ","2,714     ",172     ,6.0     ,01063
CN0106500000000,01,065,"Hale County, AL",Hale,Alabama,Aug-19,"6,097     ","5,859     ",238     ,3.9     ,01065
CN0106700000000,01,067,"Henry County, AL",Henry,Alabama,Aug-19,"6,933     ","6,690     ",243     ,3.5     ,01067
CN0106900000000,01,069,"Houston County, AL",Houston,Alabama,Aug-19,"46,080     ","44,705     ","1,375     ",3.0     ,01069
CN0107100000000,01,071,"Jackson County, AL",Jackson,Alabama,Aug-19,"23,340     ","22,602     ",738     ,3.2     ,01071
CN0107300000000,01,073,"Jefferson County, AL",Jefferson,Alabama,Aug-19,"318,116     ","308,988     ","9,128     ",2.9     ,01073
CN0107500000000,01,075,"Lamar County, AL",Lamar,Alabama,Aug-19,"5,852     ","5,679     ",173     ,3.0     ,01075
CN0107700000000,01,077,"Lauderdale County, AL",Lauderdale,Alabama,Aug-19,"42,460     ","41,082     ","1,378     ",3.2     ,01077
CN0107900000000,01,079,"Lawrence County, AL",Lawrence,Alabama,Aug-19,"14,266     ","13,829     ",437     ,3.1     ,01079
CN0108100000000,01,081,"Lee County, AL",Lee,Alabama,Aug-19,"76,167     ","74,144     ","2,023     ",2.7     ,01081
CN0108300000000,01,083,"Limestone County, AL",Limestone,Alabama,Aug-19,"43,708     ","42,618     ","1,090     ",2.5     ,01083
CN0108500000000,01,085,"Lowndes County, AL",Lowndes,Alabama,Aug-19,"3,574     ","3,370     ",204     ,5.7     ,01085
CN0108700000000,01,087,"Macon County, AL",Macon,Alabama,Aug-19,"7,857     ","7,521     ",336     ,4.3     ,01087
