LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,County,State,Period,Labor Force,Employed,Unemployed,Unemployment Rate(%),Fips Codes
CN0100100000000,01,001,"Autauga County, AL",Autauga,Alabama,Feb-20,"25,906     ","25,196     ",710     ,2.7     ,01001
CN0100300000000,01,003,"Baldwin County, AL",Baldwin,Alabama,Feb-20,"95,924     ","93,418     ","2,506     ",2.6     ,01003
CN0100500000000,01,005,"Barbour County, AL",Barbour,Alabama,Feb-20,"8,532     ","8,234     ",298     ,3.5     ,01005
CN0100700000000,01,007,"Bibb County, AL",Bibb,Alabama,Feb-20,"8,628     ","8,374     ",254     ,2.9     ,01007
CN0100900000000,01,009,"Blount County, AL",Blount,Alabama,Feb-20,"25,179     ","24,544     ",635     ,2.5     ,01009
CN0101100000000,01,011,"Bullock County, AL",Bullock,Alabama,Feb-20,"4,784     ","4,629     ",155     ,3.2     ,01011
CN0101300000000,01,013,"Butler County, AL",Butler,Alabama,Feb-20,"9,251     ","8,871     ",380     ,4.1     ,01013
CN0101500000000,01,015,"Calhoun County, AL",Calhoun,Alabama,Feb-20,"45,942     ","44,376     ","1,566     ",3.4     ,01015
CN0101700000000,01,017,"Chambers County, AL",Chambers,Alabama,Feb-20,"15,709     ","15,264     ",445     ,2.8     ,01017
CN0101900000000,01,019,"Cherokee County, AL",Cherokee,Alabama,Feb-20,"11,394     ","11,072     ",322     ,2.8     ,01019
CN0102100000000,01,021,"Chilton County, AL",Chilton,Alabama,Feb-20,"19,691     ","19,212     ",479     ,2.4     ,01021
CN0102300000000,01,023,"Choctaw County, AL",Choctaw,Alabama,Feb-20,"4,532     ","4,308     ",224     ,4.9     ,01023
CN0102500000000,01,025,"Clarke County, AL",Clarke,Alabama,Feb-20,"7,389     ","6,975     ",414     ,5.6     ,01025
CN0102700000000,01,027,"Clay County, AL",Clay,Alabama,Feb-20,"6,086     ","5,924     ",162     ,2.7     ,01027
CN0102900000000,01,029,"Cleburne County, AL",Cleburne,Alabama,Feb-20,"5,716     ","5,549     ",167     ,2.9     ,01029
CN0103100000000,01,031,"Coffee County, AL",Coffee,Alabama,Feb-20,"21,190     ","20,631     ",559     ,2.6     ,01031
CN0103300000000,01,033,"Colbert County, AL",Colbert,Alabama,Feb-20,"23,541     ","22,664     ",877     ,3.7     ,01033
