LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,County,State,Period,Labor Force,Employed,Unemployed,Unemployment Rate(%),Fips Codes
CN0100100000000,01,001,"Autauga County, AL",Autauga,Alabama,Jan-20,"25,912     ","25,125     ",787     ,3.0     ,01001
CN0100300000000,01,003,"Baldwin County, AL",Baldwin,Alabama,Jan-20,"95,316     ","92,389     ","2,927     ",3.1     ,01003
CN0100500000000,01,005,"Barbour County, AL",Barbour,Alabama,Jan-20,"8,509     ","8,186     ",323     ,3.8     ,01005
CN0100700000000,01,007,"Bibb County, AL",Bibb,Alabama,Jan-20,"8,629     ","8,342     ",287     ,3.3     ,01007
CN0100900000000,01,009,"Blount County, AL",Blount,Alabama,Jan-20,"25,098     ","24,352     ",746     ,3.0     ,01009
CN0101100000000,01,011,"Bullock County, AL",Bullock,Alabama,Jan-20,"4,674     ","4,480     ",194     ,4.2     ,01011
CN0101300000000,01,013,"Butler County, AL",Butler,Alabama,Jan-20,"9,155     ","8,772     ",383     ,4.2     ,01013
CN0101500000000,01,015,"Calhoun County, AL",Calhoun,Alabama,Jan-20,"46,059     ","44,315     ","1,744     ",3.8     ,01015
CN0101700000000,01,017,"Chambers County, AL",Chambers,Alabama,Jan-20,"15,698     ","15,187     ",511     ,3.3     ,01017
CN0101900000000,01,019,"Cherokee County, AL",Cherokee,Alabama,Jan-20,"11,373     ","10,991     ",382     ,3.4     ,01019
CN0102100000000,01,021,"Chilton County, AL",Chilton,Alabama,Jan-20,"19,591     ","19,032     ",559     ,2.9     ,01021
CN0102300000000,01,023,"Choctaw County, AL",Choctaw,Alabama,Jan-20,"4,511     ","4,269     ",242     ,5.4     ,01023
CN0102500000000,01,025,"Clarke County, AL",Clarke,Alabama,Jan-20,"7,406     ","6,947     ",459     ,6.2     ,01025
CN0102700000000,01,027,"Clay County, AL",Clay,Alabama,Jan-20,"6,065     ","5,867     ",198     ,3.3     ,01027
CN0102900000000,01,029,"Cleburne County, AL",Cleburne,Alabama,Jan-20,"5,682     ","5,490     ",192     ,3.4     ,01029
CN0103100000000,01,031,"Coffee County, AL",Coffee,Alabama,Jan-20,"21,004     ","20,349     ",655     ,3.1     ,01031
CN0103300000000,01,033,"Colbert County, AL",Colbert,Alabama,Jan-20,"23,275     ","22,298     ",977     ,4.2     ,01033
CN0103500000000,01,035,"Conecuh County, AL",Conecuh,Alabama,Jan-20,"4,440     ","4,248     ",192     ,4.3     ,01035
CN0103700000000,01,037,"Coosa County, AL",Coosa,Alabama,Jan-20,"4,452     ","4,297     ",155     ,3.5     ,01037
CN0103900000000,01,039,"Covington County, AL",Covington,Alabama,Jan-20,"15,313     ","14,758     ",555     ,3.6     ,01039
CN0104100000000,01,041,"Crenshaw County, AL",Crenshaw,Alabama,Jan-20,"6,257     ","6,040     ",217     ,3.5     ,01041
CN0104300000000,01,043,"Cullman County, AL",Cullman,Alabama,Jan-20,"38,433     ","37,341     ","1,092     ",2.8     ,01043
CN0104500000000,01,045,"Dale County, AL",Dale,Alabama,Jan-20,"20,496     ","19,837     ",659     ,3.2     ,01045
CN0104700000000,01,047,"Dallas County, AL",Dallas,Alabama,Jan-20,"14,490     ","13,687     ",803     ,5.5     ,01047
CN0104900000000,01,049,"DeKalb County, AL",DeKalb,Alabama,Jan-20,"30,600     ","29,625     ",975     ,3.2     ,01049
CN0105100000000,01,051,"Elmore County, AL",Elmore,Alabama,Jan-20,"37,258     ","36,157     ","1,101     ",3.0     ,01051
CN0105300000000,01,053,"Escambia County, AL",Escambia,Alabama,Jan-20,"14,629     ","14,071     ",558     ,3.8     ,01053
CN0105500000000,01,055,"Etowah County, AL",Etowah,Alabama,Jan-20,"42,809     ","41,025     ","1,784     ",4.2     ,01055
CN0105700000000,01,057,"Fayette County, AL",Fayette,Alabama,Jan-20,"6,517     ","6,290     ",227     ,3.5     ,01057
CN0105900000000,01,059,"Franklin County, AL",Franklin,Alabama,Jan-20,"14,531     ","14,077     ",454     ,3.1     ,01059
CN0106100000000,01,061,"Geneva County, AL",Geneva,Alabama,Jan-20,"10,869     ","10,522     ",347     ,3.2     ,01061
CN0106300000000,01,063,"Greene County, AL",Greene,Alabama,Jan-20,"2,848     ","2,681     ",167     ,5.9     ,01063
CN0106500000000,01,065,"Hale County, AL",Hale,Alabama,Jan-20,"6,055     ","5,792     ",263     ,4.3     ,01065
CN0106700000000,01,067,"Henry County, AL",Henry,Alabama,Jan-20,"6,878     ","6,619     ",259     ,3.8     ,01067
CN0106900000000,01,069,"Houston County, AL",Houston,Alabama,Jan-20,"46,058     ","44,592     ","1,466     ",3.2     ,01069
CN0107100000000,01,071,"Jackson County, AL",Jackson,Alabama,Jan-20,"23,006     ","22,148     ",858     ,3.7     ,01071
