LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,County,State,Period,Labor Force,Employed,Unemployed,Unemployment Rate(%),Fips Codes
CN0100100000000,01,001,"Autauga County, AL",Autauga,Alabama,Nov-19,"26,086     ","25,500     ",586     ,2.2     ,01001
CN0100300000000,01,003,"Baldwin County, AL",Baldwin,Alabama,Nov-19,"96,603     ","94,405     ","2,198     ",2.3     ,01003
CN0100500000000,01,005,"Barbour County, AL",Barbour,Alabama,Nov-19,"8,600     ","8,323     ",277     ,3.2     ,01005
CN0100700000000,01,007,"Bibb County, AL",Bibb,Alabama,Nov-19,"8,720     ","8,510     ",210     ,2.4     ,01007
CN0100900000000,01,009,"Blount County, AL",Blount,Alabama,Nov-19,"25,411     ","24,851     ",560     ,2.2     ,01009
CN0101100000000,01,011,"Bullock County, AL",Bullock,Alabama,Nov-19,"4,759     ","4,592     ",167     ,3.5     ,01011
CN0101300000000,01,013,"Butler County, AL",Butler,Alabama,Nov-19,"9,244     ","8,945     ",299     ,3.2     ,01013
CN0101500000000,01,015,"Calhoun County, AL",Calhoun,Alabama,Nov-19,"46,408     ","45,076     ","1,332     ",2.9     ,01015
CN0101700000000,01,017,"Chambers County, AL",Chambers,Alabama,Nov-19,"15,873     ","15,492     ",381     ,2.4     ,01017
CN0101900000000,01,019,"Cherokee County, AL",Cherokee,Alabama,Nov-19,"11,487     ","11,218     ",269     ,2.3     ,01019
CN0102100000000,01,021,"Chilton County, AL",Chilton,Alabama,Nov-19,"19,898     ","19,447     ",451     ,2.3     ,01021
CN0102300000000,01,023,"Choctaw County, AL",Choctaw,Alabama,Nov-19,"4,525     ","4,343     ",182     ,4.0     ,01023
CN0102500000000,01,025,"Clarke County, AL",Clarke,Alabama,Nov-19,"7,409     ","7,058     ",351     ,4.7     ,01025
CN0102700000000,01,027,"Clay County, AL",Clay,Alabama,Nov-19,"6,110     ","5,962     ",148     ,2.4     ,01027
CN0102900000000,01,029,"Cleburne County, AL",Cleburne,Alabama,Nov-19,"5,757     ","5,615     ",142     ,2.5     ,01029
CN0103100000000,01,031,"Coffee County, AL",Coffee,Alabama,Nov-19,"21,161     ","20,663     ",498     ,2.4     ,01031
CN0103300000000,01,033,"Colbert County, AL",Colbert,Alabama,Nov-19,"23,719     ","23,015     ",704     ,3.0     ,01033
CN0103500000000,01,035,"Conecuh County, AL",Conecuh,Alabama,Nov-19,"4,462     ","4,316     ",146     ,3.3     ,01035
CN0103700000000,01,037,"Coosa County, AL",Coosa,Alabama,Nov-19,"4,516     ","4,412     ",104     ,2.3     ,01037
CN0103900000000,01,039,"Covington County, AL",Covington,Alabama,Nov-19,"15,528     ","15,115     ",413     ,2.7     ,01039
CN0104100000000,01,041,"Crenshaw County, AL",Crenshaw,Alabama,Nov-19,"6,388     ","6,240     ",148     ,2.3     ,01041
CN0104300000000,01,043,"Cullman County, AL",Cullman,Alabama,Nov-19,"38,779     ","37,959     ",820     ,2.1     ,01043
CN0104500000000,01,045,"Dale County, AL",Dale,Alabama,Nov-19,"20,668     ","20,158     ",510     ,2.5     ,01045
CN0104700000000,01,047,"Dallas County, AL",Dallas,Alabama,Nov-19,"14,524     ","13,913     ",611     ,4.2     ,01047
CN0104900000000,01,049,"DeKalb County, AL",DeKalb,Alabama,Nov-19,"30,847     ","30,156     ",691     ,2.2     ,01049
CN0105100000000,01,051,"Elmore County, AL",Elmore,Alabama,Nov-19,"37,508     ","36,673     ",835     ,2.2     ,01051
CN0105300000000,01,053,"Escambia County, AL",Escambia,Alabama,Nov-19,"14,802     ","14,379     ",423     ,2.9     ,01053
CN0105500000000,01,055,"Etowah County, AL",Etowah,Alabama,Nov-19,"42,785     ","41,622     ","1,163     ",2.7     ,01055
CN0105700000000,01,057,"Fayette County, AL",Fayette,Alabama,Nov-19,"6,570     ","6,402     ",168     ,2.6     ,01057
CN0105900000000,01,059,"Franklin County, AL",Franklin,Alabama,Nov-19,"14,752     ","14,423     ",329     ,2.2     ,01059
CN0106100000000,01,061,"Geneva County, AL",Geneva,Alabama,Nov-19,"10,979     ","10,722     ",257     ,2.3     ,01061
